link_id;demand_ab;demand_ba;demand_tot;Preload_AB;Preload_BA;Preload_tot;Congested_Time_AB;Congested_Time_BA;Congested_Time_Max;Delay_factor_AB;Delay_factor_BA;Delay_factor_Max;VOC_AB;VOC_BA;VOC_max;PCE_AB;PCE_BA;PCE_tot
136;3021.46;910.000000000001;3931.460000000001;0.0;0.0;0.0;186.33640159874466;85.88425652020969;186.33640159874466;2.1908817374626626;1.0097986626943303;2.1908817374626626;1.678588888888889;0.5055555555555561;1.678588888888889;3021.46;910.000000000001;3931.460000000001
137;2151.848;1024.3280000000002;3176.1760000000004;0.0;0.0;0.0;71.06346468501516;55.25334600393038;71.06346468501516;1.3063709632229747;1.0157310392954624;1.3063709632229747;1.1954711111111112;0.5690711111111112;1.1954711111111112;2151.848;1024.3280000000002;3176.1760000000004
138;1345.7480000000014;84.16800000000013;1429.9160000000015;0.0;0.0;0.0;169.75262003160114;154.71729668420613;169.75262003160114;1.0971809622691333;1.0000014870112466;1.0971809622691333;0.8971653333333343;0.05611200000000009;0.8971653333333343;1345.7480000000014;84.16800000000013;1429.9160000000015
139;1672.5240000000017;305.996;1978.5200000000018;0.0;0.0;0.0;83.66863236652426;67.93851251760553;83.66863236652426;1.2318545678605928;1.0002597701352038;1.2318545678605928;1.1150160000000011;0.2039973333333333;1.1150160000000011;1672.5240000000017;305.996;1978.5200000000018
140;1216.5120000000009;658.4760000000003;1874.9880000000012;0.0;0.0;0.0;59.08530042568319;59.01607571264456;59.08530042568319;1.0012832665763471;1.0001101567453103;1.0012832665763471;0.30412800000000023;0.1646190000000001;0.30412800000000023;1216.5120000000009;658.4760000000003;1874.9880000000012
141;1216.5120000000009;658.4760000000003;1874.9880000000012;0.0;0.0;0.0;67.0866990889318;67.00809988642825;67.0866990889318;1.0012832665763471;1.0001101567453103;1.0012832665763471;0.30412800000000023;0.1646190000000001;0.30412800000000023;1216.5120000000009;658.4760000000003;1874.9880000000012
142;0.8560000000000005;338.34800000000024;339.20400000000024;0.0;0.0;0.0;146.17945474550783;146.23621796439707;146.23621796439707;1.000000000000016;1.0003883118800134;1.0003883118800134;0.000570666666666667;0.2255653333333335;0.2255653333333335;0.8560000000000005;338.34800000000024;339.20400000000024
143;215.02000000000018;1145.9080000000015;1360.9280000000017;0.0;0.0;0.0;32.80922445195097;34.48322254671362;34.48322254671362;1.0000633346905465;1.0510887443086765;1.0510887443086765;0.1433466666666668;0.7639386666666677;0.7639386666666677;215.02000000000018;1145.9080000000015;1360.9280000000017
144;666.4520000000005;1638.6919999999998;2305.1440000000002;0.0;0.0;0.0;54.62547685014531;58.21061873226873;58.21061873226873;1.0018494678184637;1.0676021658958166;1.0676021658958166;0.33322600000000024;0.8193459999999999;0.8193459999999999;666.4520000000005;1638.6919999999998;2305.1440000000002
145;1608.42;653.1520000000004;2261.5720000000006;0.0;0.0;0.0;47.35194357579364;39.72899947827201;47.35194357579364;1.1983006244206076;1.0053924144891115;1.1983006244206076;1.0722800000000001;0.4354346666666669;1.0722800000000001;1608.42;653.1520000000004;2261.5720000000006
